Code,Descirption
75132,"Activities of licensing and inspection, by State governments, for efficient functioning."
93095,Activities of massage salons etc.
85110,Activities of Military Hospital & Prison Hospitals
91990,Activities of minority groups associations
65991,Activities of Mutual Funds including Unit Trust of India
92200,Activities of news agencies.
85194,Activities of nurses
99000,Activities of Organisation of the Petroleum Exporting Countries (OPEC)
92413,Activities of organization and operation of indoor/outdoor sports
72909,"Activities, computer related (other), n.e.c."
92199,Activities of other kinds of entertainments nec.
91200,"Activities of other membership organizations, trade union like"
91990,Activities of other membership organizations n.e.c.
85194,Activities of other para-medical practitioners
63090,Activities of other transport agencies
74950,"Activities of packaging, not incidental to transport"
92142,Activities of painters
91990,Activities of philatelic clubs
74940,Activities of photography
85194,Activities of physiotherapists
91920,Activities of political organizations
93093,Activities of porters
95000,Activities of private households as employers of domestic staff
91120,Activities of professional organisations
91910,Activities of religions organizations
91990,Activities of rotary clubs
93095,Activities of sauna and steam baths
92142,Activities of sculptors
93093,Activities of shoe shiners
92142,Activities of singers
92412,Activities of specialized sports training centres
92412,Activities of sports and game schools
91990,Activities of student associations
1132,Activities of tea factories associated with tea plantations
64204,Activities of the cable operators
50403,"Activities of the dealers in used motor cycles, scooters and three wheelers"
50103,Activities of the dealers in used motor vehicles
92142,Activities of the individual artists like tabalist (excluding authors)
80903,Activities of the individuals providing tuition
75144,Activities of the quasi-government bodies
63040,Activities of tour operations
91200,Activities of trade unions
63040,Activities of travel agencies
63040,Activities of travel agencies and tour operators n.e.c.
85192,Activities of Unani practitioners
99000,Activities of United Nations and its agencies
93093,Activities of valet car parkers etc.
91910,Activities of volunteers services provided to worshippers like by Ramakrishna Mission organization etc.
91990,Activities of war veterans associations
99000,Activities of World Bank
20109,Activities relating to planning of wood  n.e.c.
20109,Activities relating to saw milling of wood  n.e.c.
80904,Activities relating to training/education/ conduct of specialized course in computer knowledge
65924,Activities through credit cards
1407,"Activities to promote propagation, growth and output of animals and to obtain animal products"
74210,"Activities, architectural and engineering, services related"
75141,"Activities, construction and maintenance services, buildings, by Central Public Works Department"
75142,"Activities, construction and maintenance services, buildings, by PWD in State Govt."
75220,"Activities, defence"
75113,"Activities, general public service, by local government bodies."
75112,"Activities, general public service, by State governments."
75111,"Activities, general public service, by Union government"
75133,"Activities, inspection in health and sanitation, by local self-government, for efficient functioning."
74920,"Activities, investigation and security"
92143,"Activities, literary"
75232,"Activities, public order & safety, State Govt."
75231,"Activities, public order & safety, Union Govt."
75133,"Activities, regulatory and administrative, for roads and buildings, of local self-government, for efficient functioning."
75133,"Activities, regulatory and administrative, of tax collecting agencies, by local self-government, for efficient functioning."
75131,"Activities, regulatory and administrative, of tax collecting agencies, of Union government"
75132,"Activities, regulatory/ administrative in education, of State governments, towards efficient functioning."
75132,"Activities, regulatory/ administrative, of tax collecting agencies, of State governments, towards efficient functioning."
65192,"Activity by LIC, ICICI etc., of granting loans for house purchases etc."
67110,Activity by Stock Exchanges
93020,Activity carried out by beauty parlours
67200,Activity of actuaries
65991,Activity of agents in Mutual Funds / UTI etc.
92199,Activity of amusement parks
67200,Activity of average and loss adjusters
92199,Activity of ballroom / discotheques.
63090,Activity of bill auditing and freight-rate information
92490,Activity of casinos
65923,Activity of commercial loan companies of extending loans for any activity
12000,Activity of concentrating of thorium ores
12000,Activity of concentrating of uranium ores
2001,Activity of conserving of forests & planting timber
2001,Activity of conserving of forests & replanting timber
2001,Activity of conserving of forests & thinning timber
2001,Activity of conserving of forests & transplanting timber
63090,Activity of consolidation and break bulk of freight
55208,Activity of cooks in hotels/household on a fee or contract basis
63090,Activity of custom house brokerage
72400,"Activity of data storage of another firm, undertaken by a computer firm"
85110,Activity of dental hospitals
85122,Activity of dental practice
65192,"Activity of deposit acceptance from public by LIC, ICICI etc."
45301,Activity of drainage
1407,Activity of dung gathering
1407,Activity of egg cleaning and grading
67190,Activity of financial advisers
5022,Activity of fish farming of breeding and rearing of fish
63090,Activity of forwarding of freight
63090,Activity of freight brokerage
92490,Activity of gambling and betting
90001,Activity of garbage collection
90001,Activity of garbage disposal
90001,Activity of garbage transportation
1408,Activity of gardening
2001,Activity of growing of standing timber
65922,Activity of house financing by companies nec
67200,Activity of insurance agents
70106,Activity of leasing-in of real property and operations as lessors
75131,Activity of licensing and inspection by Union government  for efficient functioning.
92131,Activity of live broadcast of radio programme
92132,Activity of live telecast of television programme
85110,Activity of mental asylums
74940,Activity of microfilming
67190,Activity of mortgage advisers
67190,Activity of mortgage brokers
65991,Activity of mutual funds by financial companies
92490,Activity of organization and operation of fairs / shows of recreational nature
63090,Activity of organization or arrangement of transportation on behalf of shipper
85110,Activity of other health institutions nec. having accommodation facilities
63090,Activity of packing & crating and unpacking and de-crating
66020,Activity of pension funding scheme of Govt. (ie. Disbursement of pensions etc. from created pension funds etc.)
66020,Activity of pension policy schemes by companies like ICICI / LIC etc.
45301,Activity of plumbing
1407,Activity of poultry caponizing
92131,Activity of production and taping of radio programme for future broadcasting
92132,Activity of production and taping of television programme for future telecast
1403,Activity of promoting of growth of a new variety / strain of crop
92413,Activity of promotion and production of sporting events
1403,Activity of protecting of a new variety / strain of crop from disease and insects
75142,"Activity of Public Service Commission, State, to up keep standards in selection of best personnel for efficient functioning of State Govt."
63090,Activity of receiving & acceptance of freight
92490,Activity of recreational fishing
85110,Activity of rehabilitation centres
74130,"Activity of sales promotion and development of new products, by studying buying habits of consumers"
67200,Activity of salvage administrators
1407,Activity of sheep dipping and shearing
45102,Activity of site preparation for construction of building
45102,Activity of site preparation for construction other than building
45101,Activity of site preparation for mining minerals (except oil and gas)
65192,Activity of specialized institutions granting credit for house purchases that also take deposits
67120,Activity of stock brokers
74220,Activity of technical testing and analysis
72291,"Activity of the form of database development carried out (Management information system), for e.g.,  by NIC for Estate Offices, Nirman Bhawan, GOI."
1403,Activity of transplantation of rice in rice fields
63090,Activity of transportation documents preparation
75141,"Activity of Union Public Service Commission / SSC, meeting the set standards of enrolment of personnel, for efficient functioning of union government."
65991,Activity of Unit Trust of India
92199,Activity of video  parlours
63090,Activity of weighing and sampling of freight
74300,"Activity, advertising"
74130,"Activity, market research survey"
67200,"Actuaries, activities"
30002,"Addressing machines, manufacturing"
24295,"Adhesives based on plastics, manufacturing"
24295,"Adhesives based on rubber, manufacturing"
32102,"Adjustable electrical capacitors (condensers), manufacturing"
75142,Administration and operation of general personnel service in State Govt.
75141,"Administration and operation of general personnel service in Union of India, for efficient functioning."
75232,Administration and operation of prisons under State Govt.
75231,Administration and operation of prisons under Union Govt.
75232,"Administration and operation, High Court / Other courts"
75231,"Administration and operation, Supreme Court / CAT"
75142,Administration of Civil services regulations through Personnel cadre services of State
75131,"Administration of excise activities, by Union government for efficient functioning."
67110,Administration of financial markets
75131,"Administration of General labour affairs, by Union government for efficient functioning."
75132,"Administration of Land records by State governments, towards efficient functioning."
75141,"Administrative and other activities through civil services cadres nec,Union of India"
75142,"Administrative and other activities through civil services cadres nec, State Govt."
75132,"Administrative and regulatory activities of tax collecting agencies, of State governments, towards efficient functioning"
80103,Adult education primary level including upper-primary
80213,"Adult education, Secondary/Senior Secondary level (general)"
80223,"Adult education, Secondary/Senior Secondary level, technical and vocational"
74300,Advertising activity
74110,"Advocates, barristers, solicitors, pleaders, mukhtiars, legal services, rendering"
15541,"Aerated drinks, manufacturing"
52206,"Aerated water, soft drinks and ice cream, retail sale by specialized stores"
60211,"Aerial cableway, transport."
2005,"Afforestation / re-forestation, forestry service activity"
24248,"Agarbathi, manufacturing"
14291,"Agate, mining"
75133,"Agencies, regulatory, of local government bodies, for more efficient operation of business"
75132,"Agencies, regulatory, of State governments, for more efficient operation of business"
75131,"Agencies, regulatory, of Union government for more efficient operation of business."
65991,"Agents in Mutual Funds / UTI etc., activities"
10201,Agglomeration of lignite from open cut mines
10202,Agglomeration of lignite from underground
10300,Agglomeration of peat
29218,"Agricultural and forestry machinery, repair & maintenance"
52397,"Agricultural machinery, equipments and tools,  retail sale by specialized stores"
1406,"Agricultural machinery, renting of with operators"
75131,"Agricultural marketing, regulatory activities, by Union government for efficient functioning"
63022,"Agricultural products with refrigeration, warehousing of"
63021,"Agricultural products without refrigeration, warehousing of"
51101,"Agricultural raw material, sale through commission agents"
51219,"Agricultural raw materials nec., wholesale"
73100,"Agriculture and engineering & technology, research and experimental development"
51591,"Agriculture machinery & equipments, wholesale"
71210,"Agriculture machinery (without operator), renting out"
35303,"Air craft control surfaces, manufacturing"
35303,"Air craft doors, manufacturing"
35303,"Air craft fuselages, manufacturing"
35303,"Air craft landing gear and so forth, manufacturing"
35303,"Air craft launching gear, manufacturing"
35303,"Air craft major assemblies n.e.c., manufacturing"
35303,"Air craft wings, manufacturing"
35301,"Air craft, including flying balloons, manufacturing"
63013,"Air freight services, incidental to air transport"
29271,"Air guns, manufacturing"
71130,"Air transport equipment (without  operator), renting out"
62200,"Air transport, non-scheduled."
62100,"Air transport, scheduled."
29192,"Air-conditioners (domestic), manufacturing"
35308,"Aircraft, repair and maintenance"
24116,"Alcohols, manufacturing"
5021,"Algae, gathering"
2001,All activities related to conserving of forests
2001,All activities related to conserving of timber tracts
31109,"All types of rectifiers, manufacturing"
24232,"Allopathic pharmaceutical preparations, manufacturing"
27182,"Alloy steel wires, manufacturing"
23300,"Alloys of natural uranium, manufacturing"
45201,"Alteration / additions to residential buildings, own account"
35117,Alteration of ships
45202,"Alteration/additions to non residential buildings, own account"
45202,"Alterations / additions on non residential buildings, on a fee or contract basis"
45201,"Alterations/ additions on residential buildings, on a fee or contract basis"
26942,"Aluminous cement (not clinker form), manufacturing"
27203,"Aluminum bars, manufacturing"
27203,"Aluminum flakes, manufacturing"
27203,"Aluminum foil, manufacturing"
13203,"Aluminum ores, mining"
27203,"Aluminum pipe fittings, manufacturing"
27203,"Aluminum pipes, manufacturing"
27203,"Aluminum plates, manufacturing"
27203,"Aluminum powder, manufacturing"
27203,"Aluminum profiles, manufacturing"
27203,"Aluminum rods, manufacturing"
27203,"Aluminum sheets, manufacturing"
27203,"Aluminum strip, manufacturing"
27203,"Aluminum tube fittings, manufacturing"
27203,"Aluminum tubes, manufacturing"
27203,"Aluminum wires, manufacturing"
24132,"Amino-resins in primary forms, manufacturing"
74993,"Ammonia printing, services"
24121,"Ammonia, manufacturing"
24292,"Ammunitions, manufacturing"
32309,"Amplifiers, manufacturing"
92199,"Amusement centres, activities"
92199,"Amusement parks, activities"
30005,"Analog data-processing machines, manufacturing"
72291,"Analysis, design and programming of custom software, ready to use, including analysis of the user's needs and problems, consultancy on the best solution and production of software to realize this solution"
75143,Ancillary service activities of the Local government agencies/bodies
75142,Ancillary service activities of the State governments agencies/bodies
75141,Ancillary service activities of the Union government agencies/bodies
14109,"Andalusite, non-clay mineral, mining"
29244,"Angle-dozers, manufacturing"
1225,"Angora rabbits, farming"
15144,"Animal fats, manufacturing"
15339,"Animal feed n.e.c, manufacturing"
24249,"Animal preparations, manufacturing"
1407,Animal skinning and related activities
18205,"Animals' hides, stuffing"
72501,"Annual Maintenance Contract firms, service, hardware maintenance"
72295,"Annual Maintenance Contract firms, service, Software maintenance"
45302,"Antennas, installation"
10101,"Anthracite, open-cut mining"
24299,"Anti-freeze preparations, manufacturing"
24299,"Anti-knock preparations, manufacturing"
13209,"Antimony ores, mining"
24246,"Anti-respirants, manufacturing"
14212,"Apatite minerals, mining"
15496,"Appalam, manufacturing"
32204,"Apparatus for carrier-current line systems, manufacturing"
33125,"Apparatus for checking the flow, level, pressure or other variables of liquids, manufacturing"
33130,"Apparatus for continuous measurement/control of temperatures/pressure/viscosity etc., manufacturing"
33125,"Apparatus for testing and regulating vehicle motors, manufacturing"
33125,"Apparatus for testing the physical properties of the materials, manufacturing"
33209,"Apparatus of cinematographic laboratories, manufacturing"
33209,"Apparatus of photographic laboratories, manufacturing"
33115,"Appliances worn/carried or implanted, manufacturing"
74994,Application of fashion designing technology on jewelry / furniture / fashion goods
74994,Application of fashion designing technology on textiles / wearing apparel / shoes
74992,"Appraisal of businesses (not for real estate and insurance), business brokerage activity"
5022,Aquatic plants growing in fish hatcheries
74140,"Arbitration and conciliation between management and labour, management consultancy activities"
31504,"Arc lamps, manufacturing"
28112,"Arches (structural) of iron or steel, manufacturing"
74210,Architectural and engineering services related activities
74210,Architectural and engineering activities and related technical consultancy
74210,Architectural and engineering related technical consultancy
75141,"Archival activity in Union Govt., for preservation and maintenance of Govt. records."
92311,"Archives, activities"
34102,"Armoured cars & lorries, manufacturing"
74992,"Arranging for the purchase of small and medium-sized businesses, business brokerage activity"
74992,"Arranging for the sale of small and medium-sized businesses, business brokerage activity"
92141,"Art and craft exhibitions, production and presentation to audience"
92321,"Art museum, operation"
36998,"Articles made from bones and horns, manufacturing"
36942,"Articles made from coconut shells, manufacturing"
36998,"Articles made from ivory, manufacturing"
28999,"Articles made of wire barbed wire, wire fencing etc. of metal, manufacturing"
26999,"Articles of asbestos fabric, manufacturing"
26999,"Articles of asphalt or of similar material n.e.c., manufacturing"
20297,"Articles of dhak leaf, manufacturing"
36993,"Articles of human hair and other articles of personal use, n.e.c, manufacturing"
20297,"Articles of khajoor, manufacturing"
20297,"Articles of palm leaf, manufacturing"
21095,"Articles of papier mache, manufacturing"
20297,"Articles of screw-pine, manufacturing"
21098,"Articles of stationery, manufacturing"
26912,"Articles of stone and other stoneware n.e.c., manufacturing"
20297,"Articles of vegetable fibre, manufacturing"
17296,"Articles of wadding like sanitary towels and tampons, manufacturing"
26993,"Artificial abrasive products, manufacturing"
15122,Artificial dehydration of fish
15122,Artificial dehydration of fish and sea food
15132,Artificial dehydration of fruits
15122,Artificial dehydration of sea food
15132,Artificial dehydration of vegetables
24301,"Artificial filament tow fibre (man-made), not carded or combed, manufacturing"
24303,"Artificial filament yarn (man-made), high tenacity, manufacturing"
24303,"Artificial filament yarn (man-made), multiple or cabled, manufacturing"
24303,"Artificial filament yarn (man-made), whether or not textured, manufacturing"
36998,"Artificial flowers, manufacturing"
1407,Artificial insemination of animals
33116,"Artificial limbs, manufacturing"
24305,"Artificial non-filament fiber (man-made),  manufacturing"
33114,"Artificial respiration apparatus, manufacturing"
24301,"Artificial staple fibres (man-made), not carded or combed, manufacturing"
24305,"Artificial straw (man-made), manufacturing"
24305,"Artificial strip (man-made), manufacturing"
33116,"Artificial teeth, manufacturing"
17145,"Artificial textile fabrics (handloom), bleaching, dyeing, printing & finishing by hand"
17145,"Artificial textile fabrics (khadi), bleaching, dyeing, printing & finishing by hand"
17137,"Artificial textile fabrics, weaving on handloom"
24242,"Artificial wax / prepared wax for coach work, manufacturing"
24242,"Artificial wax / prepared wax for floor, manufacturing"
24242,"Artificial wax / prepared wax for furniture, manufacturing"
24242,"Artificial wax / prepared wax for glass or metal, manufacturing"
24242,"Artificial wax, manufacturing"
29271,"Artillery, manufacturing"
19122,"Artistic leather presented articles, manufacturing"
28995,"Artware (others) nec of metal, manufacturing"
26953,"Asbestos sheets, manufacturing"
26999,"Asbestos yarn, manufacturing"
14295,"Asbestos, mining"
28999,"Assembled track of railway/tramway of metal, manufacturing"
29191,Assembling of major components (compressors /condensers etc)
91120,"Association of doctors, activities"
91120,"Association of lawyers, activities"
91120,"Association of painters, activities"
91120,"Association of writers, activities"
91200,"Associations of employees/trade unions like INTUC/CITU etc., activities"
93096,Astrological and spiritualists' activities
36935,"Athletic articles and equipment, manufacturing"
40104,"Atomic reactor power plant generated electricity, transmission"
45207,"Atomic reactor power plants, construction"
45207,"Atomic reactor power plants, maintenance"
74991,Auctioning activities of self employed auctioneers
22300,"Audio cassette, duplication"
22300,"Audio CD, duplication"
92312,Audio/video cassette and CD Rom libraries
74120,Auditing activities
92143,Authors activities
30008,"Automatic bank note dispensers, manufacturing"
29221,"Automatic capstan, manufacturing"
30009,"Automatic data processing machines, manufacturing"
36920,"Automatic pianos, manufacturing"
33126,"Automatic pilots, manufacturing"
33121,"Automatic regulators of electrical quantities, manufacturing"
32204,"Automatic switch boards, manufacturing"
63023,"Automobiles, gas and oil, warehousing of"
92114,"Auxiliary activity of cutting of motion picture production,  on a fee or contract basis"
92114,"Auxiliary activity of dubbing of motion picture production, on a fee or contract basis"
92114,"Auxiliary activity of film editing of motion picture production, on a fee or contract basis"
92114,"Auxiliary activity of film editing of video production, on a fee or contract basis"
29263,"Auxiliary machine for spinning machine, manufacturing"
29263,"Auxiliary machine for weaving machine, manufacturing"
35112,"Auxiliary naval vessels, manufacturing"
24243,"Auxiliary washing preparation, manufacturing"
67200,"Average and loss adjusters, activities"
35203,"Axles (for railway locomotives), manufacturing"
34300,"Axles for motor vehicles, manufacturing"
85191,"Ayurveda practitioners, human health, activities"
24233,"Ayurvedic pharmaceutical preparations, manufacturing"
80304,"B.ED course, conducted by institutes"
15494,"Baby malted - food, manufacturing"
15202,"Baby milk - foods, manufacturing"
93097,"Baby sitter etc., services"
95000,"Babysitters, activity of private households as employers of"
36933,"Badminton rackets, manufacturing"
19121,"Bags of leather, manufacturing"
1405,Bailing of cotton
1111,Bajra growing
15419,"Bakery products n.e.c., manufacturing"
52205,"Bakery products, diary products and eggs, retail sale by specialized stores"
24139,"Balata in primary form, manufacturing"
2004,"Balatta and other rubber like gums, gathering from forest"
14108,"Ball clay, mining"
92199,"Ball room / discotheques, activities"
25194,"Balloons of rubber, manufacturing"
36934,"Balls (for sports) including those of billiards, manufacturing"
2004,"Balsams, gathering from forest"
20293,"Bamboo articles, manufacturing"
22213,"Bank notes, printing"
65191,Banking Activity by Commercial Banks
36999,"Banners, manufacturing"
55201,Bar attached restaurants
35113,"Barges, building and repair"
1111,Barley growing
33129,"Barometers, manufacturing"
27151,"Bars of alloy steel, manufacturing"
27152,"Bars of non-alloy steel, manufacturing"
27153,"Bars of stainless steel, manufacturing"
55209,"Bars, restaurants and canteens n.e.c."
14215,"Barytes, mining"
14106,"Basalt / porphyry, operation"
24117,"Basic inorganic chemicals nec, manufacturing"
27190,"Basic iron and steel n.e.c., manufacturing"
24119,"Basic organic chemicals nec, manufacturing"
27205,"Basic precious metal & bye products of gold, manufacturing"
27205,"Basic precious metal & bye products of silver, manufacturing"
27205,"Basic precious metals & bye products of platinum group, manufacturing"
27201,"Basic processing, smelting, refining for production of copper"
64201,"Basic telecom services, provision of"
20233,"Basket of bamboo, manufacturing"
20233,"Basket of rachis, manufacturing"
20233,"Basket of reed, manufacturing"
25203,"Bathing tubs of plastic, manufacturing"
28994,"Baths (sanitary ware) of metal, manufacturing"
31404,"Batteries, recharging/reconditioning"
31908,"Battery carbon for electronic purpose, manufacturing"
31109,"Battery chargers, manufacturing"
13203,"Bauxite, mining"
80305,BBA/MBA and the like kind of degree & above courses in Administration conducted by institutes
80305,BBA/MBA like kind of degree & above courses in Accounting and Management conducted by institutes
80305,BBA/MBA like kind of degree & above courses in Banking and Finance conducted by institutes
80306,"BCA/B.SC(IT) Course, conducted by institutes"
20221,"Beams of timber, manufacturing"
1121,"Beans, growing"
29138,"Bearing, repair & maintenance"
29131,"Bearings, manufacturing"
24246,"Beauty or make-up preparations, manufacturing"
93020,"Beauty parlours, activities"
93020,Beauty treatment of hair dressing
17211,"Bed-covers, manufacturing"
17214,"Bedding (except coir form), manufacturing"
15112,"Beef, slaughtering"
15112,"Beef-slaughtering, preparation"
15531,"Beer, manufacturing"
1223,Bees raising
25192,"Belting of rubber, manufacturing"
1111,"Bengal Gram, growing"
14108,"Bentonite, clay, mining"
1136,"Berries, gathering"
1135,"Betel leaves, growing"
1139,"Beverage crops nec., growing"
15549,"Beverages n.e.c., non-alcoholic, manufacturing"
51224,"Beverages other than intoxicants, wholesale"
52110,Beverages products retail sale by non-specialized stores
71309,"Bicycle, renting out"
51399,"Bicycles & rickshaws, wholesale"
52605,"Bicycles, cycle rickshaws and other non-mechanized vehicles, repair service."
35921,"Bicycles, manufacturing"
52399,"Bicycles, retail sale by specialized stores"
16002,"Bidi, manufacturing"
63090,"Bill auditing and freight-rate information, activity"
27142,"Billets of semi-finished alloy steel, manufacturing"
27141,"Billets of semi-finished non alloy steel, manufacturing"
27143,"Billets of semi-finished stainless steel, manufacturing"
36932,"Billiard sticks, manufacturing"
33203,"Binoculars, manufacturing"
20233,"Bins (storage) of bamboo, manufacturing"
20233,"Bins (storage) of rachis, manufacturing"
20233,"Bins (storage) of reed, manufacturing"
24234,"Biochemic pharmaceutical preparations, manufacturing"
40107,"Bio-gas energy, distribution of"
40107,"Bio-gas energy, generation of"
18205,"Birds' hides, stuffing"
15412,"Biscuits, manufacturing"
1111,"Black Gram, growing"
51525,"Blank audio, video tapes & diskettes, wholesale"
17221,"Blanket, manufacturing"
17251,"Blankets, manufacturing by hand"
24247,"Bleaches for permanent waving of hair etc, manufacturing"
24247,"Bleaches for straightening of hair etc, manufacturing"
18201,"Bleaching and dyeing of fur, for trade"
18201,"Bleaching and dyeing of other pelts, for trade"
24243,"Bleaching powder, manufacturing"
15317,"Blended and prepared flour for food, manufacturing"
17121,"Blended cotton textiles (not khadi / handloom), finishing"
17111,"Blended cotton yarn, spinning (not charkha)"
17122,"Blended silk textiles (not khadi / handloom), finishing"
17112,"Blended silk yarn, spinning (not charkha)"
17124,"Blended textiles (man made and not khadi / handloom), finishing"
17123,"Blended wool textiles (not khadi / handloom), finishing"
17113,"Blended wool yarn of other animal hair, spinning (not charkha)"
15492,Blending of coffee
15519,Blending of spirits; ethyl alcohol production from fermented materials n.e.c.
22221,Block making and other similar activities
26921,"Blocks of ceramic refractory, manufacturing"
93094,"Blood pressure checking machines (coin operated), personal services"
27142,"Blooms of semi-finished alloy steel, manufacturing"
27141,"Blooms of semi-finished non alloy steel, manufacturing"
27143,"Blooms of semi-finished stainless steel, manufacturing"
28939,"Blow lamps and the like of metal, manufacturing"
24243,"Blue, manufacturing"
74993,"Blue-printing, services"
20213,"Board of fibre, manufacturing"
21015,"Board of paper, manufacturing"
21015,"Board of straw, manufacturing"
93092,"Boarding, grooming and training pets, pet care services"
31200,"Boards (electricity distribution / control), manufacturing"
26102,"Boards of glass, manufacturing"
35203,"Bodies (for railway locomotives),  manufacturing"
34201,"Bodies (vehicles) of metal, wood, plastic or combination of these or other material, manufacturing"
34201,"Bodies for lorries and special purpose vehicles, manufacturing"
35203,"Bogies for railway locomotive, manufacturing"
28131,"Boilers (steam) of metal, manufacturing"
28131,"Boilers (vapour other than steam) of metal, manufacturing"
29119,"Boiler-turbine (set), manufacturing"
28991,"Bolts of metal, manufacturing"
22222,Book binding on account of others
91990,"Book clubs, activities"
92490,Booking agency activity in connection with theatrical production or other  entertainment / attraction
22222,Books binding (job-work undertaken)
29294,"Books binding machinery, manufacturing"
71303,"Books, journals and magazines etc., renting out"
51396,"Books, magazines & newspapers, wholesale"
52396,"Books, magazines, retail sale by specialized stores"
22110,"Books, publishing"
15426,"Boora (from sugarcane), manufacturing"
15427,"Boora (other than from sugarcane), manufacturing"
14219,"Borate minerals, mining"
29242,"Boring machinery, manufacturing"
29222,"Boring machines, manufacturing"
92330,"Botanical and zoological gardens, operations"
23203,Bottling of LPG
1211,Bovine semen production
21022,"Box of card board, manufacturing"
28992,"Boxes etc (metal container), manufacturing"
35203,"Brakes and parts of brakes (for railway locomotives), manufacturing"
34300,"Brakes for motor vehicles, manufacturing"
31904,"Brakes (electric equipment/application), manufacturing"
27202,"Brass bars, manufacturing"
27202,"Brass flakes, manufacturing"
27202,"Brass foil, manufacturing"
27202,"Brass pipe fittings, manufacturing"
27202,"Brass plates, manufacturing"
27202,"Brass powder, manufacturing"
27202,"Brass profiles, manufacturing"
27202,"Brass rods, manufacturing"
27202,"Brass sheets, manufacturing"
27202,"Brass strip, manufacturing"
27202,"Brass tube fittings, manufacturing"
27202,"Brass tubes, manufacturing"
27202,"Brass wires, manufacturing"
15411,Bread making
15411,"Bread, manufacturing"
35117,Breaking-up of ships
5022,"Breeding and rearing of fish, activity of fish farming"
1211,Breeding of cattle (including yak and buffalo)
10104,"Brickade, solid fuel of chiefly coal, manufacturing"
10204,"Brickade, solid fuel of chiefly lignite, manufacturing"
26921,"Bricks of ceramic refractory, manufacturing"
28112,"Bridge (structural) of iron or steel, manufacturing"
28112,"Bridge parts (structural) of iron or steel, manufacturing"
45203,"Bridges, construction"
45203,"Bridges, maintenance"
29222,"Broaching machines, manufacturing"
22110,"Brochures, publishing"
1222,"Broiler poultry, raising"
63090,Brokerage for ship and aircraft space
36997,"Brooms, manufacturing"
20294,"Broomsticks, manufacturing"
